"method","arm","level","sample_size","effect_size","truth","predicted","n"
"mrgn","truth","model",300,"small","M2","M4",0
"mrgn","truth","model",300,"small","M3","M4",0
"mrgn","truth","model",300,"small","M4","M4",1
"mrgn","truth","model",300,"small","M0","Other",5
"mrgn","truth","model",300,"small","M1","Other",6
"mrgn","truth","model",300,"small","M2","Other",10
"mrgn","truth","model",300,"small","M3","Other",11
"mrgn","truth","model",300,"small","M4","Other",10
"mrgn","truth","edge",300,"small","M0","T1 - T2 Edge Absent",14
"mrgn","truth","edge",300,"small","M1","T1 - T2 Edge Absent",3
"mrgn","truth","edge",300,"small","M2","T1 - T2 Edge Absent",2
"mrgn","truth","edge",300,"small","M3","T1 - T2 Edge Absent",9
"mrgn","truth","edge",300,"small","M4","T1 - T2 Edge Absent",4
"mrgn","truth","edge",300,"small","M0","T1 - T2 Edge Present",1
"mrgn","truth","edge",300,"small","M1","T1 - T2 Edge Present",11
"mrgn","truth","edge",300,"small","M2","T1 - T2 Edge Present",8
"mrgn","truth","edge",300,"small","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",300,"small","M4","T1 - T2 Edge Present",6
"mrgn","truth","edge",300,"small","M0","Other",5
"mrgn","truth","edge",300,"small","M1","Other",6
"mrgn","truth","edge",300,"small","M2","Other",10
"mrgn","truth","edge",300,"small","M3","Other",11
"mrgn","truth","edge",300,"small","M4","Other",10
"mrgn","truth","model",300,"medium","M0","M0",16
"mrgn","truth","model",300,"medium","M1","M0",0
"mrgn","truth","model",300,"medium","M2","M0",0
"mrgn","truth","model",300,"medium","M3","M0",1
"mrgn","truth","model",300,"medium","M4","M0",0
"mrgn","truth","model",300,"medium","M0","M1",1
"mrgn","truth","model",300,"medium","M1","M1",18
"mrgn","truth","model",300,"medium","M2","M1",11
"mrgn","truth","model",300,"medium","M3","M1",0
"mrgn","truth","model",300,"medium","M4","M1",3
"mrgn","truth","model",300,"medium","M0","M2",0
"mrgn","truth","model",300,"medium","M1","M2",0
"mrgn","truth","model",300,"medium","M2","M2",8
"mrgn","truth","model",300,"medium","M3","M2",0
"mrgn","truth","model",300,"medium","M4","M2",0
"mrgn","truth","model",300,"medium","M0","M3",2
"mrgn","truth","model",300,"medium","M1","M3",0
"mrgn","truth","model",300,"medium","M2","M3",0
"mrgn","truth","model",300,"medium","M3","M3",17
"mrgn","truth","model",300,"medium","M4","M3",0
"mrgn","truth","model",300,"medium","M0","M4",0
"mrgn","truth","model",300,"medium","M1","M4",2
"mrgn","truth","model",300,"medium","M2","M4",1
"mrgn","truth","model",300,"medium","M3","M4",1
"mrgn","truth","model",300,"medium","M4","M4",17
"mrgn","truth","model",300,"medium","M0","Other",1
"mrgn","truth","model",300,"medium","M1","Other",0
"mrgn","truth","model",300,"medium","M2","Other",0
"mrgn","truth","model",300,"medium","M3","Other",1
"mrgn","truth","model",300,"medium","M4","Other",0
"mrgn","truth","edge",300,"medium","M0","T1 - T2 Edge Absent",18
"mrgn","truth","edge",300,"medium","M1","T1 - T2 Edge Absent",0
"mrgn","truth","edge",300,"medium","M2","T1 - T2 Edge Absent",0
"mrgn","truth","edge",300,"medium","M3","T1 - T2 Edge Absent",18
"mrgn","truth","edge",300,"medium","M4","T1 - T2 Edge Absent",0
"mrgn","truth","edge",300,"medium","M0","T1 - T2 Edge Present",1
"mrgn","truth","edge",300,"medium","M1","T1 - T2 Edge Present",20
"mrgn","truth","edge",300,"medium","M2","T1 - T2 Edge Present",20
"mrgn","truth","edge",300,"medium","M3","T1 - T2 Edge Present",1
"mrgn","truth","edge",300,"medium","M4","T1 - T2 Edge Present",20
"mrgn","truth","edge",300,"medium","M0","Other",1
"mrgn","truth","edge",300,"medium","M1","Other",0
"mrgn","truth","edge",300,"medium","M2","Other",0
"mrgn","truth","edge",300,"medium","M3","Other",1
