"method","arm","dataset","sample.size","effect_size","truth.model","time.seconds","timed.out","stalled"
"MRGN","CSa",1204,50,"small","M3",0.0349349975585938,FALSE,FALSE
"MRGN","CSa",1205,50,"small","M4",0.0288288593292236,FALSE,FALSE
"MRGN","CSa",1206,150,"small","M0.1",0.0272040367126465,FALSE,FALSE
"MRGN","CSa",1207,150,"small","M1.1",0.038438081741333,FALSE,FALSE
"MRGN","CSa",1208,150,"small","M2.1",0.0272908210754395,FALSE,FALSE
"MRGN","CSa",1209,150,"small","M3",0.0237500667572021,FALSE,FALSE
"MRGN","CSa",1210,150,"small","M4",0.0274169445037842,FALSE,FALSE
"MRGN","CSa",1211,300,"small","M0.1",0.0284149646759033,FALSE,FALSE
"MRGN","CSa",1212,300,"small","M1.1",0.0140588283538818,FALSE,FALSE
"MRGN","CSa",1213,300,"small","M2.1",0.0326468944549561,FALSE,FALSE
"MRGN","CSa",1214,300,"small","M3",0.0190989971160889,FALSE,FALSE
"MRGN","CSa",1215,300,"small","M4",0.0313899517059326,FALSE,FALSE
"MRGN","CSa",1216,670,"small","M0.1",0.0512549877166748,FALSE,FALSE
"MRGN","CSa",1217,670,"small","M1.1",0.03472900390625,FALSE,FALSE
"MRGN","CSa",1218,670,"small","M2.1",0.0380799770355225,FALSE,FALSE
"MRGN","CSa",1219,670,"small","M3",0.0495631694793701,FALSE,FALSE
"MRGN","CSa",1220,670,"small","M4",0.0538899898529053,FALSE,FALSE
"MRGN","CSa",1221,1000,"small","M0.1",0.0385959148406982,FALSE,FALSE
"MRGN","CSa",1222,1000,"small","M1.1",0.0414340496063232,FALSE,FALSE
"MRGN","CSa",1223,1000,"small","M2.1",0.0432679653167725,FALSE,FALSE
"MRGN","CSa",1224,1000,"small","M3",0.0493168830871582,FALSE,FALSE
"MRGN","CSa",1225,1000,"small","M4",0.110350131988525,FALSE,FALSE
"MRGN","CSa",1226,50,"medium","M0.1",0.0185701847076416,FALSE,FALSE
"MRGN","CSa",1227,50,"medium","M1.1",0.0163829326629639,FALSE,FALSE
"MRGN","CSa",1228,50,"medium","M2.1",0.02630615234375,FALSE,FALSE
"MRGN","CSa",1229,50,"medium","M3",0.0277419090270996,FALSE,FALSE
"MRGN","CSa",1230,50,"medium","M4",0.0272238254547119,FALSE,FALSE
